feature_id,screen,subtab,mode,displayed_fields,action,code_path,symbol,classification,approval_basis,test_ids,status,notes
FILE-05,FileBrowser,,standalone,file name/size/modified/'길게 눌러 선택',tap -> temp copy + OpenFilex; share icon -> Share; delete icon -> confirm -> deleteSync (LOCAL file only; not DB),lib/screens/file_browser_screen.dart:894,_openLocalFile/_shareLocalFile/_deleteLocalFile,existing,code,,code-verified,
FILE-06,FileBrowser,,standalone,selection AppBar,long-press multi-select; share selected; delete selected (confirm),lib/screens/file_browser_screen.dart:938,_buildStandaloneAppBar,existing,code,,code-verified,
FILE-07,FileBrowser,,standalone,FAB 'Excel 내보내기',-> 3 sheets 교통위반/주정차위반/기타위반 -> 안전신문고_ts.xlsx in exports,lib/screens/file_browser_screen.dart:969,_exportExcel,existing,code,,code-verified,
FILE-08,FileBrowser,,both,n/a,reload on filesRefreshNonce (tab switch),lib/screens/file_browser_screen.dart:207,didChangeDependencies,existing,code,,code-verified,(D-06) 진입: 설정 > 데이터 관리 > 파일 관리 (이전 하단 파일 탭). 화면 기능 동일
CRAWL-01,Crawl/Sync,,standalone,'데이터 동기화'; 마지막 동기화 (relative)/저장된 신고 N건,settings icon; pull-to-refresh _loadStandaloneInfo,lib/screens/crawl_screen.dart:436,_buildStandalone/_infoCard,existing,code,,code-verified,"(D-06) 진입: 대시보드 동기화 카드/앱바 버튼, 딥링크 nav_tab=6 (이전 하단 7번째 탭). 화면 기능 동일"
CRAWL-02,Crawl/Sync,,standalone,'동기화' / '전체 재동기화' / stop,SyncEngine.start(fullSync false); confirm -> start(true); SyncEngine.stop; both disabled when isStandaloneDemo,lib/screens/crawl_screen.dart:590,_syncButtons/_confirmFullSync,existing,code,,code-verified,
CRAWL-03,Crawl/Sync,,demo,orange demo info card text,none,lib/screens/crawl_screen.dart:568,_demoInfoCard,existing,code,,code-verified,
CRAWL-04,Crawl/Sync,,standalone,'상세 조회 중... x / y' progress bar,none,lib/screens/crawl_screen.dart:541,_progressBar,existing,code,,code-verified,
CRAWL-05,Crawl/Sync,,both,log panel 0xFF1E1E1E; 실행 중/대기 중; greenAccent monospace,auto-scroll,lib/screens/crawl_screen.dart:869,_logPanel,existing,code,,code-verified,
CRAWL-06,Crawl/Sync,,client,'크롤링 제어'; 크롤링 방식 chip API/웹,config load; status poll 5s; WS logs,lib/screens/crawl_screen.dart:662,_buildServer/_loadConfig/_connectWs,existing,code,,code-verified,
CRAWL-07,Crawl/Sync,,client,1. 로그인 모드 회원/비회원; 2. 범위 전체/최소 (disabled for api)/DB 초기화; 탐색 페이지 한도; 4. 큐 textarea,radio + text inputs,lib/screens/crawl_screen.dart:728,_radioTile,existing,code,,code-verified,
CRAWL-08,Crawl/Sync,,client,'크롤링 시작' / '재개' (nonmember) / '강제 중지',start (reset -> 'DB 초기화 경고' confirm) -> api.startCrawl; resumeCrawl; confirm -> killCrawl,lib/screens/crawl_screen.dart:823,_startCrawl/_resumeCrawl/_killCrawl,existing,code,,code-verified,
CRAWL-09,Crawl/Sync,,both,SnackBars,quick_sync (standalone; blocked in demo) / quick_crawl (client),lib/screens/crawl_screen.dart:98,handleQuickAction,existing,code,,code-verified,
SET-01,Settings,,both,'앱 설정'; 연결 방식 card: 직접 연결 (스탠드어론)/Client 모드 + username/baseUrl,'변경' -> _confirmModeReset,lib/screens/settings_screen.dart:936,_confirmModeReset,existing,code,,code-verified,
SET-02,Settings,,standalone,dialog 'Client 모드로 전환','전환' -> auto backup standalone_backup_ts.db -> resetConfig -> SetupScreen,lib/screens/settings_screen.dart:658,_confirmStandaloneToServer,existing,code,,code-verified,
SET-03,Settings,,client,dialog 'Standalone 모드로 전환' with 3 choices,서버 DB 받아 변환 (downloadDb) / 백업 파일 선택 (FilePicker .db+wal/shm) / 처음부터 시작 -> PendingDbImportAction.save -> resetConfig -> SetupScreen,lib/screens/settings_screen.dart:728,_confirmServerToStandalone,existing,code,test/services/pending_db_import_action_test.dart,code-verified,
SET-04,Settings,,both,'화면 테마' radios 시스템 설정 사용/라이트 모드/다크 모드 + '현재 선택' box,select -> provider.setThemeMode,lib/screens/settings_screen.dart:1013,RadioGroup<AppThemeMode>,existing,code,,code-verified,테마 저장/복원 보존 필수
SET-05,Settings,,standalone,'안전신문고 계정' 아이디/휴대폰번호,'재로그인 / 휴대폰번호 갱신' -> dialog -> demo seed or StandaloneAuthService.login -> setStandaloneConfig,lib/screens/settings_screen.dart:1096,_showReloginDialog,existing,code,,code-verified,
SET-06,Settings,,standalone,'지도 지오코딩' Kakao REST API Key (obscure toggle),'카카오 키 저장' -> setStandaloneKakaoRestApiKey,lib/screens/settings_screen.dart:1141,_saveStandaloneKakaoKey,existing,code,,code-verified,
SET-07,Settings,,client,서버 vX / 최신·업데이트 가능·확인 불가,refresh -> _loadServerVersion,lib/screens/settings_screen.dart:1208,_loadServerVersion,existing,code,test/services/server_connection_service_test.dart,code-verified,
SET-08,Settings,,client,'서버 연결' URL + API Key + test result box,clear URL; toggle/copy key; '연결 테스트' -> http summary; '저장' -> setConfig + refreshAll,lib/screens/settings_screen.dart:1289,_testConnection/_save,existing,code,,code-verified,
SET-09,Settings,,client,'크롤링 자동 저장' switches 엑셀 자동 저장 / 구글 스프레드시트 자동 업로드,toggle -> api.updateSettings(auto_export_excel/sheet),lib/screens/settings_screen.dart:1410,_toggleFilter,existing,code,,code-verified,forced off in standalone :115
SET-10,Settings,,both,'기타 데이터 필터 세팅' 경찰 기관명 정규화/취하 데이터 숨기기/중복 신고 대표건만 반영,toggle -> standalone setStandaloneFilter; client api.updateSettings + refreshAll,lib/screens/settings_screen.dart:1487,_toggleFilter,existing,code,,code-verified,통계 개선 시 모든 카드·차트에 동일 적용
SET-11,Settings,,both,'데이터베이스 관리' 'DB 백업 (다운로드)',standalone LocalDbService.exportBackup / client api.downloadDb -> exportsRoot/backup_data_ts.db,lib/screens/settings_screen.dart:1625,_backupDb,existing,code,,code-verified,"카드 제목 ""데이터 관리""로 변경, 첫 버튼 ""파일 관리"" 추가(D-06)"
SET-12,Settings,,both,'DB 복원 (업로드)',FilePicker -> confirm -> standalone detectDbKind -> importFromServerDb / replaceFromBackup; client api.uploadDb (server replaces its DB),lib/screens/settings_screen.dart:1643,_restoreDb,existing,code,test/services/local_db_service_regression_test.dart,code-verified,유일한 DB 복원 진입점. '일반 파일 업로드'와 다름
SET-13,Settings,,both,'앱 정보' 버전/플랫폼/공식 출처 URL/disclaimer 3 lines/INTERNET note,'안전신문고 공식 사이트 열기'; '버그 제보하기' -> GitHub 새 이슈(버전·모드·OS 미리 채움; 2026-09-24),lib/screens/settings_screen.dart:1656,_openOfficialSource/_openBugReport,existing,code,,code-verified,출처/비공식 고지 보존 필수 (Play 정책)
SET-14,Settings,,client,'백그라운드 서버 연결' pill 실행 중/중지됨,'서비스 시작/중지' -> PermissionService.start/stopWsService,lib/screens/settings_screen.dart:1765,_toggleWsService,existing,code,,code-verified,
SET-15,Settings,,both,'권한 설정' card,tap -> PermissionScreen,lib/screens/settings_screen.dart:1868,InkWell,existing,code,,code-verified,
SET-16,Settings,,both,'홈페이지 바로가기',launchUrl hb.worklazy.net/mysafetyreport,lib/screens/settings_screen.dart:1910,OutlinedButton,existing,code,,code-verified,
SETUP-01,Setup,mode select,both,'나만의 안전신문고' + Client 모드 / Standalone 모드 cards,tap -> serverConfig / standaloneConfig step,lib/screens/setup_screen.dart:219,_buildModeSelect,existing,code,,code-verified,
SETUP-02,Setup,server config,client,서버 URL / API Key,'연결 확인 후 시작하기' -> ServerConnectionService.testConnection -> setConfig -> PermissionScreen(isSetup),lib/screens/setup_screen.dart:63,_connectServer,existing,code,test/services/server_connection_service_test.dart,code-verified,
SETUP-03,Setup,standalone login,standalone,아이디/비밀번호/휴대폰번호 + RSA info box,'로그인' -> StandaloneAuthService.login -> setStandaloneConfig -> _applyPendingDbImport -> PermissionScreen,lib/screens/setup_screen.dart:99,_loginStandalone,existing,code,,code-verified,테스트에서 운영 로그인 금지
SETUP-04,Setup,standalone login,demo,same form,demo credentials -> seedPlayReviewDemo -> setStandaloneConfig(isDemoMode) -> clear pendingDbImport -> PermissionScreen,lib/screens/setup_screen.dart:104,_isPlayReviewDemoLogin,existing,code,,code-verified,Play 심사 경로 보존 필수
SETUP-05,Setup,standalone login,standalone,success/orange failure SnackBar,PendingDbImportAction.readAndClear().apply() -> refreshAll,lib/screens/setup_screen.dart:171,_applyPendingDbImport,existing,code,test/services/pending_db_import_action_test.dart,code-verified,
PERM-01,PermissionScreen,,both,cards 알림 접근/배터리 최적화 제외/알림 표시 (13+)/위치 (선택)/WebSocket (client only),per-card grant -> PermissionService.*,lib/screens/permission_screen.dart:148,_PermCard,existing,code,,code-verified,
PERM-02,PermissionScreen,,both,'모든 권한 한 번에 허용하기',_grantAll (WS start only in client),lib/screens/permission_screen.dart:244,_grantAll,existing,code,,code-verified,
PERM-03,PermissionScreen,,both,green/orange all-granted banner,none,lib/screens/permission_screen.dart:255,_allGranted,existing,code,,code-verified,standalone ignores WS :77
PERM-04,PermissionScreen,,both,'완료'/'나중에 설정하기' (isSetup); '권한 상태 새로고침',-> MainNavigationScreen (clear stack); _checkAll,lib/screens/permission_screen.dart:294,FilledButton/TextButton,existing,code,,code-verified,
DETAIL-01,ReportDetailSheet (widget),,both,name + status chip,open: markReportRead + draggable sheet 0.3-0.95,lib/widgets/report_detail_sheet.dart:33,showReportDetailSheet,existing,code,,code-verified,no mode branches in sheet
DETAIL-02,ReportDetailSheet (widget),,both,신고번호/내부 ID/신고일/답변일/처리기관/과태료·범칙금/벌점/발생일자+시각/별점/별점사유,none,lib/widgets/report_detail_sheet.dart:249,_field,existing,code,,code-verified,
DETAIL-03,ReportDetailSheet (widget),,both,link fields 담당자/차량번호/위반법규/위반장소 (underlined),tap -> refreshCategoryForReport -> setFilter -> pop -> ReportListScreen(tab),lib/widgets/report_detail_sheet.dart:675,_linkField/_navigateToFiltered,existing,code,test/report_navigation_regression_test.dart,code-verified,카테고리 못 찾으면 이동 차단 + SnackBar (교통 탭 기본 이동 금지)
DETAIL-04,ReportDetailSheet (widget),,both,신고내용 / 처리내용 selectable blocks,text select,lib/widgets/report_detail_sheet.dart:312,_textBlock,existing,code,,code-verified,
DETAIL-05,ReportDetailSheet (widget),,both,보완 요청 section: count/미응답·응답 완료/요청자/요청·완료 일시/신고자 의견,none,lib/widgets/report_detail_sheet.dart:1364,_SupplementSection,existing,code,,code-verified,
DETAIL-06,ReportDetailSheet (widget),,both,'전화걸기 N' (phone parsed from 처리내용),tap -> launchUrl tel:,lib/widgets/report_detail_sheet.dart:334,_extractPhone,existing,code,,code-verified,
DETAIL-07,ReportDetailSheet (widget),,both,첨부 사진 (map image + photos + image files) with retry,'다시 시도'; '다른 앱으로 열기' -> temp download + OpenFilex,lib/widgets/report_detail_sheet.dart:349,_RetryableImage/_openExternal,existing,code,,code-verified,
DETAIL-08,ReportDetailSheet (widget),,both,첨부 동영상 inline player(2026-09-24부터 탭해야 불러옴 — 자동 로딩 중 스크롤 멈춤 수정); 첨부파일 via player with filename,tap for controls/play-pause/seek slider/fullscreen; '다른 앱으로 열기',lib/widgets/report_detail_sheet.dart:382,_VideoPlayer,existing,code,,code-verified,스크롤 후 복귀 시 재생 유지 정책(1.3.5) 회귀 금지
DETAIL-09,ReportDetailSheet (widget),,both,fullscreen video (landscape lock),controls; fullscreen_exit -> pop,lib/widgets/report_detail_sheet.dart:702,_FullscreenVideoPage,existing,code,,code-verified,
DETAIL-10,ReportDetailSheet (widget),,both,'안전신문고 앱에서 보기' + hint text,-> launchUrl buildSafetyReportAppUri(report.id) external,lib/widgets/report_detail_sheet.dart:439,_openInSafetyApp,existing,code,test/report_navigation_regression_test.dart,code-verified,
DETAIL-11,ReportDetailSheet (widget),,both,'정부 정보 원문 출처' URL + disclaimer,'안전신문고 공식 사이트 열기',lib/widgets/report_detail_sheet.dart:451,_openOfficialSource,existing,code,,code-verified,출처/비공식 고지 보존 필수
DGD-01,DuplicateGroupDetailSheet (widget),,both,rep name; chips 상태/대표건/멤버; 대표 신고 ID/신고번호/신고명/처리상태/처리기관; member list (star = rep),member tap -> showReportDetailSheet,lib/widgets/duplicate_group_detail_sheet.dart:60,showDuplicateGroupDetailSheet,existing,code,,code-verified,
ENH-01,Statistics,,both,요약 카드(총 신고/답변 완료/처리중/보완요청/결과별/평균 처리기간),display,lib/widgets/stats_overview_section.dart,StatsOverviewSection,approved-enhancement,사용자 승인 방향(통계 정보구조·시각화) + statistics-spec §3,test/widgets/stats_overview_section_test.dart; test/services/stats_overview_test.dart,implemented,S-02: 평균 처리기간은 원자료 직접 계산 + 표본 수 표시. Standalone LocalDbService.computeStatsOverview / Client GET /api/v1/stats/overview
ENH-02,Statistics,,both,월별 신고(신고일 기준) / 월별 답변(답변일 기준) 두 시리즈,display,lib/widgets/stats_overview_section.dart,StatsOverviewSection,approved-enhancement,사용자 승인 방향(월별 신고현황) + statistics-spec §3.2,test/widgets/stats_overview_section_test.dart; test/services/stats_overview_test.dart,implemented,"월별 신고(신고일)·월별 답변(답변일) 두 시리즈, 점선으로 구분. Client 는 서버 신규 API(사용자 결정)"
ENH-03,Statistics,,both,처리 결과 비율 도넛 + 분모 표기,display,,,approved-enhancement,statistics-spec §3.3,,spec-draft,시안 도넛은 처리중 누락 → 채택 안 함
ENH-04,Statistics,,both,기관·담당자 Top N 가로 막대 (기존 AgencyStatRow 활용),tap -> 기존 drilldown과 동일,,,approved-enhancement,statistics-spec §3.4,,spec-draft,기존 상세표(STAT-07/08) 보존
UNS-01,(시안) 전역,,both,'신고하기'/신규 신고 접수,없음,,,unsupported,PROJECT_RULES §1 금지,,excluded,UI COMPONENT KIT '+' FAB 의미 미정 → 신고 접수로 쓰지 않음
UNS-02,(시안) 알림,,both,'시스템 공지' 항목,없음,,,unsupported,코드 근거 없음 (NotificationItemKind 에 없음),,excluded,mobile dark/white 05번 화면
UNS-03,(시안) board 빈 상태,,both,'파일 업로드' 버튼,없음,,,unsupported,코드 근거 없음 (파일 탭에 업로드 없음; DB 복원 SET-12와 다름),,excluded,
UNS-04,(시안) 컴포넌트 바텀시트,,both,'선택 삭제'(신고 레코드 삭제),없음,,,unsupported,PROJECT_RULES §1 금지,,excluded,파일 삭제(FILE-03/05)·알림 기록 삭제(NOTI-01)와 구분
UNS-05,(시안) PC 구성,,both,사이드 내비·데이터 테이블 컬럼 선택·페이지네이션·전역 검색,없음,,,unsupported,PC 전용 (pc-only),,excluded,PC 웹은 별도 레포
DEC-01,(시안) 알림,,both,상단 [알림 | 크롤링] 분리 + 크롤링/동기화 상태 카드 + '지금 동기화하기',없음,,,needs-decision,현행: 알림 3 하위 탭 + 7번째 탭 크롤링/동기화,,needs-decision,Client 크롤링과 Standalone 동기화 혼합 위험. 현행 구조 유지 권고
DEC-02,(시안) 하단 내비,,both,화이트 시안 하단 탭 5개,없음,,,needs-decision,현행 7개 (NAV-01),,needs-decision,다크 시안(7개)을 따르고 5개 안은 채택하지 않는 것을 권고
DEC-03,(시안) 신고관리,,both,신고관리 상단 뒤로가기(화이트 시안),없음,,,needs-decision,현행 하단 탭 루트 화면,,needs-decision,채택 안 함 권고
DEC-04,(시안) 대시보드,,both,히어로 배너 이미지 + 인사 문구 '안녕하세요!',없음,,,needs-decision,현행 없음,,needs-decision,배너 문구 구워짐(asset-manifest) → 텍스트는 Flutter로
DEC-05,(시안) 신고 카드,,both,카드 썸네일(첨부 사진),없음,,,needs-decision,현행 카드에 이미지 없음,,needs-decision,목록 성능·데이터 사용량 영향. 첨부 URL은 상세에서만 로드됨
MODE-01,Dashboard,,both,실행 모드 배지 Client / Standalone / Standalone · 데모,none (display),lib/widgets/mode_badge.dart,ModeBadge,approved-enhancement,D-03 사용자 결정(2026-09-24),test/theme/theme_contrast_test.dart,implemented,대시보드 앱바. 설정 연결 방식 카드 등 추가 위치는 이후 화면 그룹 작업
STAT-10,Statistics,,both,"요약 카드(총 신고/답변 완료/처리 중+보완요청/평균 처리기간+표본) + 월별 추이 + 기준 각주, 구서버 미지원 안내",none (display); pull-to-refresh 는 기관표와 공유,lib/screens/statistics_screen.dart,_loadOverview/_overviewHeader,approved-enhancement,statistics-spec §3·§6-1,test/widgets/stats_overview_section_test.dart,implemented,기관표 목록 머리에 붙음. 요약 실패해도 기관표·drilldown 은 유지
NAV-15,Dashboard,,both,"동기화/크롤링 상태 카드: 진행 중 표시, Standalone 마지막 동기화 시각, 데모 안내, Client 안내 문구",tap -> AppRoutes.openCrawl,lib/widgets/sync_status_card.dart,SyncStatusCard,approved-enhancement,D-06 사용자 결정 2026-09-24,,implemented,모드 혼합 없음: 실행은 기존 CrawlScreen 이 담당
SET-17,Settings,,both,연결 방식 카드에 ModeBadge,none (display),lib/screens/settings_screen.dart,ModeBadge,approved-enhancement,D-03 사용자 결정,,implemented,
SET-18,Settings,,both,'도움·문의' 카드(설정 맨 위: 연결 방식 카드 바로 아래),'버그 제보하기'(FilledTonal) / '기능 요청' -> GitHub 새 이슈(앱 버전·모드·OS 미리 채움 / 개인정보 자동 기입 없음); '사용 가이드' -> hb.worklazy.net/mysafetyreport,lib/screens/settings_screen.dart,_SupportCard,approved-enhancement,user-request 2026-09-24,test/services/support_links_test.dart,code-verified,버그 제보 위치를 사용자가 찾지 못한다는 제보로 앱 정보 맨 아래에서 옮김
SET-19,Settings,,standalone,계정 카드 '마지막 로그인: M/D HH:mm 성공|연결 실패|거부됨|로그인 정보 없음' + 실패 사유(데모 제외),none (display),lib/widgets/auth_status_notice.dart,AuthStatusLine,approved-enhancement,user-request 2026-09-24,test/services/standalone_auth_relogin_test.dart,code-verified,StandaloneAuthService.status 구독
SET-20,Settings,,both,도움·문의 카드 'Play 스토어에서 평가하기',InAppReview.openStoreListing (조건 없음),lib/screens/settings_screen.dart,_SupportCard,approved-enhancement,user-request 2026-09-24,,code-verified,에뮬레이터 화면 확인·탭 미실행
DASH-12,Dashboard,,standalone,맨 위 '안전신문고 재로그인이 필요합니다' 경고(비밀번호 거부·로그인 정보 없음일 때만; 데모·일시 오류 제외),'재로그인' -> SettingsScreen(openReloginOnStart) 재로그인 창,lib/widgets/auth_status_notice.dart,ReloginRequiredBanner,approved-enhancement,user-request 2026-09-24,test/widgets/auth_status_notice_test.dart,code-verified,동기화 화면(Standalone) 맨 위에도 같은 경고
BG-01,Background,,standalone,하루 1회 로그인 점검(WorkManager; 네트워크·배터리 조건; 첫 실행 6시간 뒤),재로그인 필요 시 '🔐 안전신문고 재로그인 필요' 알림(72시간에 1회) -> 앱 열기,lib/services/background_login_check.dart,BackgroundLoginCheck,approved-enhancement,user-request 2026-09-24,test/services/background_login_check_test.dart,code-verified,Kotlin SafetyReportApplication 이 prefs 키로 알림; 에뮬레이터에서 알림·백그라운드 실행 확인
REVIEW-01,ReportDetailSheet (widget),,both,Play 앱 내 리뷰 창(구글이 표시 여부 결정),최근 3일 안에 받은 수용·과태료·범칙금 결과 상세를 닫은 뒤; 설치 7일·사용한 날 5일·90일 간격·평생 3회·이번 실행 오류 없음·데모 제외,lib/services/review_prompt_service.dart,ReviewPromptService.maybeRequestAfterViewing,approved-enhancement,user-request 2026-09-24,test/services/review_prompt_service_test.dart,code-verified,실제 리뷰 창은 Play 설치본(내부 테스트 트랙)에서만 확인 가능 — NOT_RUN
